city,image_date,landsat_id
Hamburg,08.06.2023,196023_20230608
Hamburg,09.06.2023,195023_20230609
Hamburg,05.09.2023,195023_20230905
Hamburg,01.05.2024,196023_20240501
Hamburg,02.05.2024,195023_20240502
Leipzig,11.06.2023,193024_20230611
Leipzig,14.08.2023,193024_20230814
Leipzig,07.09.2023,193024_20230907
Leipzig,15.07.2024,193024_20240715
Stuttgart,01.06.2023,195026_20230601
Stuttgart,25.06.2023,195026_20230625
Stuttgart,20.08.2023,195026_20230820
Stuttgart,05.09.2023,195026_20230905
Stuttgart,06.09.2023,194026_20230906
Stuttgart,29.07.2024,195026_20240729
Stuttgart,30.07.2024,194026_20240730
